MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS 
2016,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,AM6,Z,10.3,8.6,9.5,222
2016,BENTLEY,CONTINENTAL GT,COMPACT,4,8,AS8,Z,16.1,9.4,13.1,307
2016,BENTLEY,CONTINENTAL GT,COMPACT,6,12,AS8,Z,18.9,11.2,15.4,360
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4,8,AS8,Z,17.7,10.3,14.4,337
2016,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,19.6,11.7,16,375
2016,BENTLEY,FLYING SPUR,MID-SIZE,4,8,AS8,Z,17.7,10,14.2,334
2016,BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5,388
2016,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21,13.1,17.5,408
2016,BMW,228i,SUBCOMPACT,2,4,AS8,Z,9.9,6.5,8.4,197
2016,BMW,228i,SUBCOMPACT,2,4,M6,Z,10.7,7,9,211
2016,BMW,228i xDRIVE,SUBCOMPACT,2,4,AS8,Z,10.4,6.8,8.8,207
2016,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,320i,COMPACT,2,4,AS8,Z,9.9,6.5,8.4,197
2016,BMW,320i,COMPACT,2,4,M6,Z,10.7,7,9,211
2016,BMW,320i xDRIVE,COMPACT,2,4,AS8,Z,10.4,6.8,8.8,207
2016,BMW,328d xDRIVE,COMPACT,2,4,AS8,D,7.7,5.7,6.8,183
2016,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,D,7.7,5.7,6.8,183
2016,BMW,328i xDRIVE,COMPACT,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,12,7.9,10.2,238
2016,BMW,340i,COMPACT,3,6,AS8,Z,10.9,7.2,9.3,217
2016,BMW,340i,COMPACT,3,6,M6,Z,11.6,7.8,9.9,231
2016,BMW,340i xDRIVE,COMPACT,3,6,AS8,Z,10.9,7.3,9.3,216
2016,BMW,340i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,241
2016,BMW,428i CABRIOLET,SUBCOMPACT,2,4,AS8,Z,10.8,6.7,8.9,211
2016,BMW,428i COUPE,COMPACT,2,4,AS8,Z,9.9,6.5,8.4,197
2016,BMW,428i COUPE,COMPACT,2,4,M6,Z,10.7,7,9,211
2016,BMW,428i GRAN COUPE,COMPACT,2,4,AS8,Z,10.8,6.7,8.9,211
2016,BMW,428i GRAN COUPE,COMPACT,2,4,M6,Z,10.9,6.8,9,210
2016,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2,4,AS8,Z,11.3,7.1,9.4,221
2016,BMW,428i xDRIVE COUPE,COMPACT,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,428i xDRIVE GRAN COUPE,COMPACT,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,435i CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.8,7.6,9.9,232
2016,BMW,435i COUPE,COMPACT,3,6,AS8,Z,11.6,7.7,9.9,232
2016,BMW,435i COUPE,COMPACT,3,6,M6,Z,12.1,8.4,10.5,246
2016,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.9,8.1,10.2,238
2016,BMW,435i xDRIVE COUPE,COMPACT,3,6,AS8,Z,12,7.9,10.2,238
2016,BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,12.3,8.4,10.5,247
2016,BMW,435i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,12,7.9,10.2,238
2016,BMW,528i xDRIVE,MID-SIZE,2,4,AS8,Z,10.5,6.9,8.9,209
2016,BMW,535d xDRIVE,MID-SIZE,3,6,AS8,D,9.2,6.3,7.9,212
2016,BMW,535i xDRIVE,MID-SIZE,3,6,AS8,Z,11.9,8.1,10.2,238
2016,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,AS8,Z,13,9.1,11.2,263
2016,BMW,550i xDRIVE,MID-SIZE,4.4,8,AS8,Z,14.4,9.6,12.3,288
2016,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,AS8,Z,14.3,9.3,12.1,283
2016,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3,6,AS8,Z,11.9,8.1,10.2,238
2016,BMW,640i xDRIVE GRAN COUPE,COMPACT,3,6,AS8,Z,11.9,8.1,10.2,238
2016,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,14.3,9.3,12.1,283
2016,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Z,14.4,9.6,12.3,288
2016,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.3,9.3,12.1,283
2016,BMW,750i xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14.3,9.3,12.1,283
2016,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,AS8,Z,14.3,9.3,12.1,283
2016,BMW,ACTIVEHYBRID 5,MID-SIZE,3,6,AS8,Z,10.6,7.9,9.4,219
2016,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,14.3,9.3,12.1,283
2016,BMW,M2,SUBCOMPACT,3,6,AM7,Z,11.8,8.8,10.4,244
