MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS 
2017,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.4,6.8,8.2,192
2017,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.6,9,11,259
2017,ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6,AS9,Z,12.2,9,10.7,251
2017,ACURA,MDX HYBRID AWD,SUV - SMALL,3,6,AM7,Z,9.1,9,9,210
2017,ACURA,NSX,TWO-SEATER,3.5,6,AM9,Z,11.1,10.8,11,261
2017,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.7,10.7,250
2017,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.2,7.8,8.1,190
2017,ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,197
2017,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,226
2017,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,197
2017,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,197
2017,ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,205
2017,ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,217
2017,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,280
2017,ASTON MARTIN,DB11 V12,MINICOMPACT,5.2,12,A8,Z,15.5,11.4,13.7,322
2017,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6,12,A8,Z,16.7,10.9,14.1,331
2017,ASTON MARTIN,VANQUISH,MINICOMPACT,6,12,A8,Z,17.5,11.4,14.7,345
2017,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6,12,AM7,Z,19.4,12.8,16.4,388
2017,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6,12,M7,Z,23.2,14.4,19.2,450
2017,AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8,188
2017,AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM6,X,9.7,7.5,8.7,205
2017,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM6,X,10.8,8,9.5,223
2017,AUDI,A4 ULTRA,COMPACT,2,4,AM7,Z,8.6,6.4,7.6,177
2017,AUDI,A4 QUATTRO,COMPACT,2,4,AM7,Z,9.8,7.7,8.8,205
2017,AUDI,A4 QUATTRO,COMPACT,2,4,M6,Z,9.9,7,8.6,204
2017,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AM7,Z,10.2,8.3,9.3,217
2017,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AS8,Z,11,8,9.7,226
2017,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,M6,Z,10.4,7.3,9,210
2017,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AS8,Z,11.3,8.2,9.9,231
2017,AUDI,A6 QUATTRO,MID-SIZE,2,4,AS8,Z,10.9,7.5,9.4,220
2017,AUDI,A6 QUATTRO,MID-SIZE,3,6,AS8,Z,11.5,8.2,10,238
2017,AUDI,A7 QUATTRO,MID-SIZE,3,6,AS8,Z,11.5,8.2,10,238
2017,AUDI,A8,MID-SIZE,3,6,AS8,Z,12.6,8,10.5,246
2017,AUDI,A8,MID-SIZE,4,8,AS8,Z,12.9,8,10.7,249
2017,AUDI,A8L,FULL-SIZE,4,8,AS8,Z,13.1,8.3,10.9,255
2017,AUDI,Q3,COMPACT,2,4,AS6,Z,11.9,8.4,10.3,243
2017,AUDI,Q3 QUATTRO,COMPACT,2,4,AS6,Z,11.9,8.4,10.3,241
