MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION CITY (L/100 km),FUEL CONSUMPTION HWY (L/100 km),FUEL CONSUMPTION COMB (L/100 km),CO2 EMISSIONS
2019,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.9,7,8.6,199
2019,ACURA,MDX SH-AWD,SUV: SMALL,3.5,6,AS9,Z,12.2,9,10.8,252
2019,ACURA,MDX SH-AWD A-SPEC,SUV: SMALL,3.5,6,AS9,Z,12.2,9.5,11,258
2019,ACURA,MDX HYBRID AWD,SUV: SMALL,3,6,AM7,Z,9.1,9,9,210
2019,ACURA,NSX,TWO-SEATER,3.5,6,AM9,Z,11.1,10.8,11,261
2019,ACURA,RDX AWD,SUV: SMALL,2,4,AS10,Z,11,8.6,9.9,232
2019,ACURA,RDX AWD A-SPEC,SUV: SMALL,2,4,AS10,Z,11.3,9.1,10.3,242
2019,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,196
2019,ACURA,TLX,COMPACT,2.4,4,AM8,Z,10,7.1,8.7,205
2019,ACURA,TLX A-SPEC,COMPACT,2.4,4,AM8,Z,10.2,7.4,8.9,209
2019,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.4,7.7,9.8,228
2019,ACURA,TLX SH-AWD A-SPEC,COMPACT,3.5,6,AS9,Z,12,8.2,10.3,240
2019,ALFA ROMEO,4C COUPE,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,197
2019,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,197
2019,ALFA ROMEO,GIULIA,MID-SIZE,2,4,A8,Z,10,7.2,8.7,205
2019,ALFA ROMEO,GIULIA AWD,MID-SIZE,2,4,A8,Z,10.5,7.7,9.2,217
2019,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6,A8,Z,13.8,9.6,11.9,280
2019,ALFA ROMEO,STELVIO,SUV: SMALL,2,4,A8,Z,10.3,8.1,9.3,218
2019,ALFA ROMEO,STELVIO AWD,SUV: SMALL,2,4,A8,Z,10.8,8.3,9.6,226
2019,ALFA ROMEO,STELVIO AWD QUADRIFOGLIO,SUV: SMALL,2.9,6,A8,Z,14.1,10.4,12.4,292
2019,ASTON MARTIN,DB11 V8,MINICOMPACT,4,8,A8,Z,13,9.8,11.5,271
2019,ASTON MARTIN,DB11 AMR,MINICOMPACT,5.2,12,A8,Z,15.5,10.6,13.3,312
2019,ASTON MARTIN,DBS SUPERLEGGERA,MINICOMPACT,5.2,12,A8,Z,16.4,10.7,13.8,324
2019,ASTON MARTIN,RAPIDE AMR,SUBCOMPACT,6,12,A8,Z,16.7,10.9,14.1,332
2019,ASTON MARTIN,VANQUISH ZAGATO,MINICOMPACT,6,12,A8,Z,17.5,11.4,14.7,346
2019,ASTON MARTIN,VANTAGE V8,TWO-SEATER,4,8,A8,Z,12.7,9.4,11.2,264
2019,AUDI,A3,SUBCOMPACT,2,4,AM7,X,9.1,6.8,8.1,188
2019,AUDI,A3 QUATTRO,SUBCOMPACT,2,4,AM7,X,10.9,7.9,9.6,225
2019,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM7,X,10.7,7.9,9.5,221
2019,AUDI,A4,COMPACT,2,4,AM7,Z,8.6,6.9,7.8,182
2019,AUDI,A4 QUATTRO,COMPACT,2,4,AM7,Z,10,7,8.7,204
2019,AUDI,A4 ALLROAD QUATTRO,STATION WAGON: SMALL,2,4,AM7,Z,10.7,8,9.5,221
2019,AUDI,A5 QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7,8.7,204
2019,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2,4,AM7,Z,10,7,8.7,204
2019,AUDI,A5 SPORTBACK QUATTRO,MID-SIZE,2,4,AM7,Z,10,7,8.7,204
2019,AUDI,A6 QUATTRO,MID-SIZE,3,6,AM7,Z,10.7,8.2,9.6,224
2019,AUDI,A7 QUATTRO,MID-SIZE,3,6,AM7,Z,10.7,8.2,9.6,224
2019,AUDI,A8L,FULL-SIZE,3,6,AS8,Z,12.5,8.6,10.8,202
